     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
         2 kB         5ms      21.4%   18806.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         4 kB         5ms       0.3%   19157.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         6 kB         5ms       0.8%   19187.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         8 kB         5ms       3.0%   18980.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        12 kB         5ms       0.5%   19222.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        16 kB         4ms       0.7%   19299.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        20 kB         5ms       0.7%   19035.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        24 kB         5ms       1.0%   18878.4 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        28 kB         5ms       0.9%   18910.6 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        32 kB         5ms       0.7%   19082.6 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        36 kB         5ms       1.2%   18978.6 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        40 kB         5ms       0.8%   19206.2 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        44 kB         5ms       4.5%   19032.4 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        48 kB         5ms       0.7%   19258.8 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        52 kB         5ms       0.9%   18962.8 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        56 kB         5ms       1.0%   18978.7 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        60 kB         5ms       3.8%   18707.5 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        64 kB         5ms       0.8%   19147.7 GB/s         0 GB/s          0 GB/s          2 GB/s          0 GB/s 
        68 kB         5ms       0.4%   18995.8 GB/s         0 GB/s          0 GB/s          2 GB/s          0 GB/s 
        72 kB         5ms       1.0%   19104.5 GB/s         0 GB/s          0 GB/s          2 GB/s          0 GB/s 
        76 kB         5ms       0.7%   18850.4 GB/s         0 GB/s          0 GB/s          2 GB/s          0 GB/s 
        80 kB         5ms       1.2%   19185.8 GB/s         0 GB/s          0 GB/s          2 GB/s          0 GB/s 
        84 kB         5ms       0.8%   19176.9 GB/s         0 GB/s          0 GB/s          2 GB/s          0 GB/s 
        88 kB         5ms       3.6%   19219.2 GB/s         0 GB/s          0 GB/s          2 GB/s          0 GB/s 
        92 kB         5ms       0.8%   18991.7 GB/s         0 GB/s          0 GB/s          2 GB/s          0 GB/s 
        96 kB         5ms       0.9%   19052.6 GB/s         0 GB/s          0 GB/s          2 GB/s          0 GB/s 
       100 kB         5ms       0.7%   19182.7 GB/s         0 GB/s          0 GB/s          2 GB/s          0 GB/s 
       104 kB         5ms       0.5%   19192.2 GB/s         0 GB/s          0 GB/s          3 GB/s          0 GB/s 
       108 kB         5ms       0.8%   19118.5 GB/s         0 GB/s          0 GB/s          3 GB/s          0 GB/s 
       112 kB         5ms       1.0%   19056.2 GB/s         0 GB/s          0 GB/s          3 GB/s          0 GB/s 
       116 kB         5ms       1.0%   19263.7 GB/s         0 GB/s          0 GB/s          3 GB/s          0 GB/s 
       120 kB         5ms       1.1%   19256.1 GB/s         0 GB/s          0 GB/s          3 GB/s          0 GB/s 
       124 kB         5ms       0.6%   19137.3 GB/s         0 GB/s          0 GB/s          3 GB/s          0 GB/s 
       128 kB         5ms       1.0%   19119.9 GB/s         0 GB/s          0 GB/s          3 GB/s          0 GB/s 
       148 kB         5ms       0.8%   19098.8 GB/s         0 GB/s          0 GB/s          4 GB/s          0 GB/s 
       172 kB         5ms       1.1%   17194.8 GB/s         0 GB/s          0 GB/s       1936 GB/s          0 GB/s 
       204 kB         6ms       2.6%   13549.4 GB/s         0 GB/s          0 GB/s       2179 GB/s          0 GB/s 
       236 kB        21ms      10.2%    4265.2 GB/s         0 GB/s          0 GB/s       4243 GB/s          0 GB/s 
       280 kB        20ms       7.2%    4420.3 GB/s         0 GB/s          0 GB/s       4420 GB/s          0 GB/s 
       328 kB        22ms      18.7%    4249.4 GB/s         0 GB/s          0 GB/s       4249 GB/s          0 GB/s 
       384 kB        20ms       8.2%    4504.9 GB/s         0 GB/s          0 GB/s       4505 GB/s          0 GB/s 
       448 kB        20ms       1.4%    4377.3 GB/s         0 GB/s          0 GB/s       4377 GB/s          0 GB/s 
       524 kB        20ms       5.8%    4365.2 GB/s         0 GB/s          0 GB/s       4365 GB/s          0 GB/s 
       612 kB        19ms       3.4%    4712.0 GB/s         0 GB/s          0 GB/s       4712 GB/s          0 GB/s 
       716 kB        19ms       1.3%    4473.2 GB/s         0 GB/s          0 GB/s       4473 GB/s          0 GB/s 
       840 kB        20ms       6.8%    4497.0 GB/s         0 GB/s          0 GB/s       4497 GB/s          0 GB/s 
       984 kB        19ms       2.3%    4618.8 GB/s         0 GB/s          0 GB/s       4619 GB/s          0 GB/s 
      1152 kB        20ms       9.1%    4629.8 GB/s         0 GB/s          0 GB/s       4630 GB/s          0 GB/s 
      1576 kB        19ms       3.4%    4654.9 GB/s         0 GB/s          0 GB/s       4655 GB/s          0 GB/s 
