     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
         2 kB         5ms       0.4%   13646.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         4 kB         5ms       0.1%   13874.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         6 kB         5ms       0.1%   13889.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         8 kB         5ms       0.1%   13916.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        12 kB         5ms       0.1%   13820.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        16 kB         5ms       0.2%   13873.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        20 kB         5ms       0.1%   13811.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        24 kB         5ms       0.1%   13824.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        28 kB         5ms       0.1%   13910.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        32 kB         5ms       0.1%   13869.4 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        36 kB         5ms       0.1%   13893.0 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        40 kB         5ms       0.1%   13875.3 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        44 kB         5ms       0.2%   13842.2 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        48 kB         5ms       0.1%   13839.3 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        52 kB         5ms       0.1%   13833.7 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        56 kB         5ms       0.1%   13920.5 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        60 kB         5ms       0.2%   13899.7 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        64 kB         5ms       0.2%   13873.4 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        68 kB         5ms       0.2%   13842.4 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        72 kB         5ms       0.1%   13860.7 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        76 kB         5ms       0.1%   13858.0 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        80 kB         5ms       0.2%   13821.7 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        84 kB         5ms       0.2%   13816.2 GB/s         0 GB/s          0 GB/s          1 GB/s          0 GB/s 
        88 kB         5ms       0.2%   13837.3 GB/s         0 GB/s          0 GB/s          2 GB/s          0 GB/s 
        92 kB         5ms       0.1%   13816.0 GB/s         0 GB/s          0 GB/s          2 GB/s          0 GB/s 
        96 kB         5ms       0.1%   13775.6 GB/s         0 GB/s          0 GB/s          2 GB/s          0 GB/s 
       100 kB         5ms       0.1%   13742.5 GB/s         0 GB/s          0 GB/s          2 GB/s          0 GB/s 
