clock: 800 800 800 800 800 800 800 800 800 800 800 800 800 800 800 800 800 800 800 
     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
         4 kB       203ms       4.3%    9489.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
         8 kB       223ms       9.7%    8669.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        12 kB       201ms       4.5%    9616.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        16 kB       187ms       5.3%   10290.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        24 kB       698ms       1.4%    2754.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        32 kB       724ms       1.5%    2653.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        40 kB       723ms       1.9%    2667.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        48 kB       746ms       2.0%    2598.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        56 kB       763ms       4.5%    2533.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        64 kB       765ms       1.4%    2527.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        72 kB       773ms       5.4%    2493.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        80 kB       776ms       1.0%    2486.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        88 kB       782ms       3.8%    2471.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
        96 kB       788ms       0.7%    2448.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       104 kB       792ms       1.0%    2437.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       112 kB       794ms       1.8%    2429.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       120 kB       797ms       0.6%    2417.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       128 kB       794ms       1.1%    2430.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       136 kB       798ms       0.9%    2419.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       144 kB       794ms       3.6%    2429.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       152 kB       806ms       1.1%    2394.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       160 kB       819ms       1.9%    2368.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       168 kB       826ms       1.0%    2334.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       176 kB       820ms       0.9%    2352.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       184 kB       817ms       1.7%    2366.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       192 kB       819ms       1.2%    2355.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       200 kB       829ms       1.5%    2334.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
       208 kB       817ms       0.7%    2357.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
