
0 852 blocks     0 its      0.250 Fl/B        845 GB/s       211 GF/s   2490 Mhz   199 W   42°C
1 852 blocks     0 its      0.250 Fl/B        844 GB/s       211 GF/s   2520 Mhz   210 W   43°C

0 852 blocks     1 its      0.500 Fl/B        845 GB/s       422 GF/s   2490 Mhz   201 W   45°C
1 852 blocks     1 its      0.500 Fl/B        845 GB/s       422 GF/s   2520 Mhz   215 W   46°C

0 852 blocks     2 its      0.750 Fl/B        845 GB/s       634 GF/s   2490 Mhz   203 W   47°C
1 852 blocks     2 its      0.750 Fl/B        844 GB/s       633 GF/s   2520 Mhz   216 W   48°C

0 852 blocks     4 its      1.250 Fl/B        845 GB/s      1056 GF/s   2490 Mhz   206 W   49°C
1 852 blocks     4 its      1.250 Fl/B        845 GB/s      1056 GF/s   2520 Mhz   221 W   51°C

0 852 blocks     8 its      2.250 Fl/B        845 GB/s      1901 GF/s   2490 Mhz   211 W   50°C
1 852 blocks     8 its      2.250 Fl/B        844 GB/s      1900 GF/s   2520 Mhz   227 W   53°C

0 852 blocks    16 its      4.250 Fl/B        845 GB/s      3590 GF/s   2490 Mhz   219 W   52°C
1 852 blocks    16 its      4.250 Fl/B        844 GB/s      3588 GF/s   2520 Mhz   236 W   55°C

0 852 blocks    24 its      6.250 Fl/B        845 GB/s      5279 GF/s   2490 Mhz   227 W   54°C
1 852 blocks    24 its      6.250 Fl/B        845 GB/s      5280 GF/s   2520 Mhz   245 W   57°C

0 852 blocks    32 its      8.250 Fl/B        845 GB/s      6968 GF/s   2490 Mhz   235 W   56°C
1 852 blocks    32 its      8.250 Fl/B        844 GB/s      6959 GF/s   2520 Mhz   255 W   59°C

0 852 blocks    40 its      10.250 Fl/B        844 GB/s      8656 GF/s   2490 Mhz   243 W   57°C
1 852 blocks    40 its      10.250 Fl/B        845 GB/s      8657 GF/s   2520 Mhz   265 W   60°C

0 852 blocks    48 its      12.250 Fl/B        844 GB/s     10342 GF/s   2490 Mhz   253 W   59°C
1 852 blocks    48 its      12.250 Fl/B        843 GB/s     10329 GF/s   2520 Mhz   276 W   62°C

0 852 blocks    56 its      14.250 Fl/B        844 GB/s     12027 GF/s   2490 Mhz   267 W   61°C
1 852 blocks    56 its      14.250 Fl/B        844 GB/s     12028 GF/s   2520 Mhz   288 W   64°C

0 852 blocks    64 its      16.250 Fl/B        844 GB/s     13718 GF/s   2490 Mhz   272 W   62°C
1 852 blocks    64 its      16.250 Fl/B        844 GB/s     13718 GF/s   2520 Mhz   294 W   65°C

0 852 blocks    72 its      18.250 Fl/B        844 GB/s     15404 GF/s   2490 Mhz   282 W   63°C
1 852 blocks    72 its      18.250 Fl/B        844 GB/s     15404 GF/s   2520 Mhz   305 W   67°C

0 852 blocks    80 its      20.250 Fl/B        844 GB/s     17086 GF/s   2490 Mhz   291 W   65°C
1 852 blocks    80 its      20.250 Fl/B        844 GB/s     17089 GF/s   2520 Mhz   316 W   68°C

0 852 blocks    88 its      22.250 Fl/B        844 GB/s     18768 GF/s   2490 Mhz   300 W   66°C
1 852 blocks    88 its      22.250 Fl/B        844 GB/s     18769 GF/s   2520 Mhz   329 W   70°C

0 852 blocks    96 its      24.250 Fl/B        843 GB/s     20446 GF/s   2460 Mhz   303 W   66°C
1 852 blocks    96 its      24.250 Fl/B        843 GB/s     20453 GF/s   2520 Mhz   340 W   71°C

0 852 blocks   104 its      26.250 Fl/B        843 GB/s     22122 GF/s   2430 Mhz   304 W   67°C
1 852 blocks   104 its      26.250 Fl/B        842 GB/s     22094 GF/s   2520 Mhz   349 W   72°C

0 852 blocks   112 its      28.250 Fl/B        842 GB/s     23789 GF/s   2385 Mhz   305 W   67°C
1 852 blocks   112 its      28.250 Fl/B        843 GB/s     23809 GF/s   2505 Mhz   353 W   72°C

0 852 blocks   120 its      30.250 Fl/B        840 GB/s     25412 GF/s   2370 Mhz   303 W   67°C
1 852 blocks   120 its      30.250 Fl/B        842 GB/s     25481 GF/s   2475 Mhz   352 W   73°C

0 852 blocks   128 its      32.250 Fl/B        822 GB/s     26509 GF/s   1980 Mhz   306 W   67°C
1 852 blocks   128 its      32.250 Fl/B        841 GB/s     27125 GF/s   2430 Mhz   353 W   73°C

0 852 blocks   136 its      34.250 Fl/B        811 GB/s     27792 GF/s   1680 Mhz   308 W   66°C
1 852 blocks   136 its      34.250 Fl/B        840 GB/s     28780 GF/s   2415 Mhz   354 W   72°C

0 852 blocks   144 its      36.250 Fl/B        781 GB/s     28325 GF/s   1440 Mhz   307 W   65°C
1 852 blocks   144 its      36.250 Fl/B        839 GB/s     30423 GF/s   2385 Mhz   351 W   72°C

0 852 blocks   152 its      38.250 Fl/B        742 GB/s     28394 GF/s   1320 Mhz   307 W   65°C
1 852 blocks   152 its      38.250 Fl/B        840 GB/s     32130 GF/s   2370 Mhz   353 W   71°C

0 852 blocks   160 its      40.250 Fl/B        708 GB/s     28516 GF/s   1335 Mhz   306 W   65°C
1 852 blocks   160 its      40.250 Fl/B        839 GB/s     33758 GF/s   2325 Mhz   352 W   71°C

0 852 blocks   168 its      42.250 Fl/B        698 GB/s     29477 GF/s   1365 Mhz   304 W   65°C
1 852 blocks   168 its      42.250 Fl/B        837 GB/s     35381 GF/s   2325 Mhz   352 W   70°C

0 852 blocks   176 its      44.250 Fl/B        680 GB/s     30098 GF/s   1395 Mhz   308 W   65°C
1 852 blocks   176 its      44.250 Fl/B        836 GB/s     36997 GF/s   2310 Mhz   351 W   70°C

0 852 blocks   184 its      46.250 Fl/B        653 GB/s     30223 GF/s   1395 Mhz   314 W   65°C
1 852 blocks   184 its      46.250 Fl/B        833 GB/s     38525 GF/s   2265 Mhz   356 W   70°C

0 852 blocks   192 its      48.250 Fl/B        628 GB/s     30283 GF/s   1410 Mhz   304 W   65°C
1 852 blocks   192 its      48.250 Fl/B        830 GB/s     40053 GF/s   2250 Mhz   354 W   69°C

0 852 blocks   200 its      50.250 Fl/B        617 GB/s     31012 GF/s   1395 Mhz   307 W   65°C
1 852 blocks   200 its      50.250 Fl/B        829 GB/s     41666 GF/s   2235 Mhz   357 W   69°C

0 852 blocks   208 its      52.250 Fl/B        598 GB/s     31268 GF/s   1425 Mhz   309 W   65°C
1 852 blocks   208 its      52.250 Fl/B        824 GB/s     43076 GF/s   2205 Mhz   358 W   68°C

0 852 blocks   216 its      54.250 Fl/B        583 GB/s     31651 GF/s   1440 Mhz   304 W   65°C
1 852 blocks   216 its      54.250 Fl/B        817 GB/s     44326 GF/s   2175 Mhz   357 W   68°C

0 852 blocks   224 its      56.250 Fl/B        558 GB/s     31368 GF/s   1455 Mhz   305 W   65°C
1 852 blocks   224 its      56.250 Fl/B        806 GB/s     45365 GF/s   2145 Mhz   350 W   67°C

0 852 blocks   232 its      58.250 Fl/B        562 GB/s     32751 GF/s   1485 Mhz   306 W   65°C
1 852 blocks   232 its      58.250 Fl/B        796 GB/s     46354 GF/s   2160 Mhz   352 W   67°C

0 852 blocks   240 its      60.250 Fl/B        549 GB/s     33076 GF/s   1500 Mhz   303 W   65°C
